Feature, Handler, Value
image, image,
platform, platform, -
PLATFORM_value, PLATFORM_value,
tag, tag, -
TAG_value, TAG_value,
name, name, -
NAME_value, NAME_value,
digest, digest, -
DIGEST_value, DIGEST_value,
CMD, CMD, -
CMD_command, CMD_command,
CMD_param1, CMD_param1,
CMD_param2, CMD_param2,
EXPOSE, EXPOSE, -
EXPOSE_port, EXPOSE_port,
EXPOSE_protocol, EXPOSE_protocol, -
PROTOCOL_udp, PROTOCOL_udp, udp 
PROTOCOL_tcp, PROTOCOL_tcp, tcp
WORKDIR, WORKDIR, -
WORKDIR_path, WORKDIR_path,
COPY, COPY, -
COPY_source, COPY_source,
COPY_destiny, COPY_destiny,
COPY_link, COPY_link, --link
COPY_parents, COPY_parents, --parents
COPY_from, COPY_from, --from=
COPY_FROM_options, COPY_FROM_options,
COPY_exclude, COPY_exclude, --exclude=
COPY_EXCLUDE_path, COPY_EXCLUDE_path, 
COPY_chown, COPY_chown, --chown=
COPY_CHOWN_users, COPY_CHOWN_users,
COPY_CHOWN_group, COPY_CHOWN_group, -
COPY_CHOWN_GROUP_value, COPY_CHOWN_GROUP_value,
COPY_chmod, COPY_chmod, --chmod=
COPY_CHMOD_perms, COPY_CHMOD_perms,
ADD, ADD, -
ADD_source, ADD_source,
ADD_destiny, ADD_destiny,
ADD_link, ADD_link, --link
ADD_chown, ADD_chown, --chown=
ADD_CHOWN_users, ADD_CHOWN_users,
ADD_CHOWN_group, ADD_CHOWN_group, -
ADD_CHOWN_GROUP_value, ADD_CHOWN_GROUP_value,
ADD_chmod, ADD_chmod, --chmod==
ADD_CHMOD_perms, ADD_CHMOD_perms,
ADD_keep_git_dir, ADD_keep_git_dir, --keep-git-dir=true
ADD_checksum, ADD_checksum, --checksum=
ADD_CHECKSUM_value, ADD_CHECKSUM_value,
LABEL, LABEL, -
LABEL_key,LABEL_key,
LABEL_value, LABEL_value,
ENV, ENV, -
ENV_key, ENV_key,
ENV_value, ENV_value,
VOLUME, VOLUME, -
VOLUME_arguments, VOLUME_arguments,
ARG, ARG, -
ARG_name, ARG_name,
ARG_value, ARG_value,
ENTRYPOINT, ENTRYPOINT, -
ENTRYPOINT_command, ENTRYPOINT_command,
ENTRYPOINT_param1, ENTRYPOINT_param1,
ENTRYPOINT_param2, ENTRYPOINT_param2,
USER, USER, -
USER_name, USER_name,
USER_group, USER_group,
ONBUILD, ONBUILD, -
ONBUILD_instruction, ONBUILD_instruction,
STOPSIGNAL, STOPSIGNAL, -
STOPSIGNAL_signal, STOPSIGNAL_signal,
SHELL, SHELL, -
SHELL_json, SHELL_json,
HEALTHCHECK, HEALTHCHECK, -
HEALTHCHECK_none, HEALTHCHECK_none,
HEALTHCHECK_options, HEALTHCHECK_options, -
HEALTHCHECK_cmdCommand, HEALTHCHECK_cmdCommand,
HEALTHCHECK_interval, HEALTHCHECK_interval,
HEALTHCHECK_timeout, HEALTHCHECK_timeout,
HEALTHCHECK_startPeriod, HEALTHCHECK_startPeriod,
HEALTHCHECK_startInterval, HEALTHCHECK_startInterval,
HEALTHCHECK_retries, HEALTHCHECK_retries,
RUN, RUN, -
RUN_command, RUN_command,
mount, mount, --mount=type=
bind, bind, bind
cache, cache, cache
tmpfs, tmpfs, tmpfs
secret, secret, secret
ssh, ssh, ssh
MOUNT_target, MOUNT_target, target=
MOUNT_TARGET_value, MOUNT_TARGET_value,
MOUNT_source, MOUNT_source, source=
MOUNT_SOURCE_value, MOUNT_SOURCE_value,
MOUNT_from, MOUNT_from, from=
MOUNT_FROM_value, MOUNT_FROM_value,
MOUNT_readwrite, MOUNT_readwrite, readwrite
MOUNT_readonly,MOUNT_readonly, readonly
MOUNT_id, MOUNT_id, id=
MOUNT_ID_value, MOUNT_ID_value,
MOUNT_required, MOUNT_required, required=true
MOUNT_mode, MOUNT_mode, mode=
MOUNT_MODE_value, MOUNT_MODE_value,
MOUNT_uid, MOUNT_uid, uid=
MOUNT_UID_value, MOUNT_UID_value,
MOUNT_gid, MOUNT_gid, gid=
MOUNT_GID_value,MOUNT_GID_value,
MOUNT_size, MOUNT_size, size=
MOUNT_SIZE_value, MOUNT_SIZE_value,
MOUNT_sharing, MOUNT_sharing, sharing=
MOUNT_SHARING_shared, MOUNT_SHARING_shared, shared
MOUNT_SHARING_private,MOUNT_SHARING_private, private
MOUNT_SHARING_locked, MOUNT_SHARING_locked, locked
network, network, --network=
default, default, default
none, none_, none
host, host, host
security, security, --security=
sandbox, sandbox, sandbox
insecure, insecure, insecure
